2026-08-30 16:37:45,404 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:47,370 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:48,282 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:49,010 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:50,910 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:51,904 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:52,694 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:53,442 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:55,288 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:56,289 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:58,090 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:37:59,992 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:01,698 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:02,751 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:03,332 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:04,615 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:06,270 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:07,162 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:07,731 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:09,269 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:11,026 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
2026-08-30 16:38:13,003 - churn_analytics - INFO - Prediction completed - Tenure: 6m | Risk: CRITICAL | Prob: 0.93
